,parameter,parameter_value,train_accuracy,test_accuracy,train_confint,test_confint,avg_training_time,test_accuracies,parameter_value_log10,p-value
0,optimizer,0.025118864315095923,0.6502,0.6351,"(0.6474, 0.653)","(0.6317, 0.6386)","0.0m, 9.0s","[0.6293413043022156, 0.6371257305145264, 0.6281437277793884, 0.6353293657302856, 0.6395209431648254, 0.6353293657302856, 0.6371257305145264, 0.6377245783805847, 0.6425149440765381, 0.6293413043022156]",-1.6,
0,optimizer,0.015848931924611207,0.6544,0.6307,"(0.6503, 0.6586)","(0.6245, 0.6368)","0.0m, 9.0s","[0.6365269422531128, 0.6305389404296875, 0.6407185792922974, 0.6113772392272949, 0.6323353052139282, 0.6311377286911011, 0.6329341530799866, 0.6353293657302856, 0.6203593015670776, 0.6353293657302856]",-1.8,0.25791384800340844
0,optimizer,0.0025118864315095872,0.6575,0.6292,"(0.6539, 0.6612)","(0.6238, 0.6346)","0.0m, 9.0s","[0.6215568780899048, 0.6191616654396057, 0.6335329413414001, 0.6275449395179749, 0.6335329413414001, 0.6299400925636292, 0.6395209431648254, 0.640119731426239, 0.6197604537010193, 0.6275449395179749]",-2.6,0.06537855243074485
0,optimizer,0.039810717055349935,0.6454,0.6277,"(0.6431, 0.6477)","(0.6217, 0.6337)","0.0m, 9.0s","[0.6353293657302856, 0.6281437277793884, 0.6299400925636292, 0.6179640889167786, 0.6143712401390076, 0.6365269422531128, 0.6371257305145264, 0.6179640889167786, 0.6263473033905029, 0.6335329413414001]",-1.4,0.06988515582944232
0,optimizer,0.0015848931924611173,0.6539,0.6266,"(0.6498, 0.6579)","(0.6216, 0.6315)","0.0m, 9.0s","[0.640119731426239, 0.6197604537010193, 0.6311377286911011, 0.6299400925636292, 0.6167664527893066, 0.6191616654396057, 0.628742516040802, 0.628742516040802, 0.6275449395179749, 0.6239520907402039]",-2.8,0.024426281499740406
0,optimizer,0.006309573444801955,0.6595,0.6264,"(0.6568, 0.6623)","(0.6197, 0.6331)","0.0m, 9.0s","[0.6371257305145264, 0.6281437277793884, 0.6323353052139282, 0.6377245783805847, 0.6173652410507202, 0.6329341530799866, 0.6263473033905029, 0.6269460916519165, 0.613772451877594, 0.6113772392272949]",-2.2,0.0454884673590242
0,optimizer,0.0039810717055349856,0.657,0.6262,"(0.6541, 0.6599)","(0.6199, 0.6326)","0.0m, 9.0s","[0.6185628771781921, 0.6179640889167786, 0.6305389404296875, 0.6227545142173767, 0.6119760274887085, 0.6383233666419983, 0.6305389404296875, 0.6329341530799866, 0.6215568780899048, 0.6371257305145264]",-2.4,0.03622821918255433
0,optimizer,0.06309573444801969,0.6407,0.6256,"(0.6364, 0.6449)","(0.6186, 0.6327)","0.0m, 9.0s","[0.6125748753547668, 0.6059880256652832, 0.628742516040802, 0.6299400925636292, 0.6317365169525146, 0.6359281539916992, 0.6257485151290894, 0.6203593015670776, 0.6293413043022156, 0.6359281539916992]",-1.2,0.022649283211529297
0,optimizer,0.01000000000000004,0.6571,0.6255,"(0.6536, 0.6606)","(0.6192, 0.6318)","0.0m, 9.0s","[0.6323353052139282, 0.6323353052139282, 0.6335329413414001, 0.6083832383155823, 0.628742516040802, 0.6245508790016174, 0.6329341530799866, 0.6149700880050659, 0.6293413043022156, 0.6179640889167786]",-2.0,0.014911504687915461
0,optimizer,0.001000000000000002,0.6527,0.6213,"(0.6508, 0.6546)","(0.6174, 0.6251)","0.0m, 9.0s","[0.6191616654396057, 0.6167664527893066, 0.6197604537010193, 0.6203593015670776, 0.6335329413414001, 0.6185628771781921, 0.6239520907402039, 0.6251497268676758, 0.6209580898284912, 0.6143712401390076]",-3.0,9.482357104222686e-06
